51 | epoch 51 | train/clean/loss 0.9521355449295044 | train/clean/top1 68.142 | train/clean/top5 96.746 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.572003060722351 | valid/clean/top1 52.22 | valid/clean/top5 89.45 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
52 | epoch 52 | train/clean/loss 0.9592313224601745 | train/clean/top1 67.952 | train/clean/top5 96.696 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.7576611009597778 | valid/clean/top1 43.2 | valid/clean/top5 91.98 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
53 | epoch 53 | train/clean/loss 0.9523687769699096 | train/clean/top1 67.992 | train/clean/top5 96.594 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.566168955230713 | valid/clean/top1 48.29 | valid/clean/top5 86.15 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
54 | epoch 54 | train/clean/loss 0.9469122391891479 | train/clean/top1 68.344 | train/clean/top5 96.646 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.6403886577606202 | valid/clean/top1 45.77 | valid/clean/top5 94.28 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
55 | epoch 55 | train/clean/loss 0.9599985273742676 | train/clean/top1 68.07 | train/clean/top5 96.56 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 2.271467239379883 | valid/clean/top1 34.6 | valid/clean/top5 82.48 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
56 | epoch 56 | train/clean/loss 0.9517939722824097 | train/clean/top1 68.174 | train/clean/top5 96.632 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.127297632598877 | valid/clean/top1 61.22 | valid/clean/top5 95.07 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
57 | epoch 57 | train/clean/loss 0.9522344905853272 | train/clean/top1 68.348 | train/clean/top5 96.766 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1239197578430176 | valid/clean/top1 62.25 | valid/clean/top5 95.12 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
58 | epoch 58 | train/clean/loss 0.9581621039581298 | train/clean/top1 67.968 | train/clean/top5 96.602 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.6125642499923707 | valid/clean/top1 47.63 | valid/clean/top5 94.24 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
59 | epoch 59 | train/clean/loss 0.9694249151229858 | train/clean/top1 67.8 | train/clean/top5 96.418 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2972530178070067 | valid/clean/top1 57.11 | valid/clean/top5 94.61 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
60 | epoch 60 | train/clean/loss 0.9440598450851441 | train/clean/top1 68.232 | train/clean/top5 96.862 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1098537967681885 | valid/clean/top1 63.32 | valid/clean/top5 95.01 | valid/adv/loss 2.9534964572906492 | valid/adv/top1 11.52 | valid/adv/top5 68.74 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
61 | epoch 61 | train/clean/loss 0.9430302894973754 | train/clean/top1 68.516 | train/clean/top5 96.758 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5025033905029297 | valid/clean/top1 49.87 | valid/clean/top5 93.86 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
62 | epoch 62 | train/clean/loss 0.9559806379508973 | train/clean/top1 67.966 | train/clean/top5 96.612 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5989718030929565 | valid/clean/top1 50.46 | valid/clean/top5 84.86 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
63 | epoch 63 | train/clean/loss 0.957828083229065 | train/clean/top1 67.898 | train/clean/top5 96.592 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4078911071777345 | valid/clean/top1 53.82 | valid/clean/top5 88.45 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
64 | epoch 64 | train/clean/loss 0.9653618273544311 | train/clean/top1 67.772 | train/clean/top5 96.574 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.774167293739319 | valid/clean/top1 45.78 | valid/clean/top5 91.99 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
65 | epoch 65 | train/clean/loss 0.9596179611587524 | train/clean/top1 67.812 | train/clean/top5 96.728 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.365677345085144 | valid/clean/top1 54.83 | valid/clean/top5 93.86 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
66 | epoch 66 | train/clean/loss 0.9564862328720093 | train/clean/top1 67.928 | train/clean/top5 96.788 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2317696800231934 | valid/clean/top1 59.71 | valid/clean/top5 93.97 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
